,autor,comentario,data,nota
19, Oscar Alves ,  as batalhas deverião ser equilibradas e não por exemplo eu sou lvl 9 não tenho comuns lvl 9 ainda e estou na arena 10 ai aparece  os cara lvl 11 com cumum 10 e 11 ai mata minha gangue com seus zap ai fica ossso né espero que melhorem isso😵  Resenha completa  ,18 de dezembro de 2017,Com a classificação 2 de cinco estrelas
20, GAME CLASH ,  Supercell você se superou essa nova atualização ficou muito top ainda mas os novos baús às novas cartas e a nova arena mas tenho uma ideia porque você não faz um torneio de gemas pra todos com o xp 5 até os outros xp 9 10 11 até os outroa xp  Resenha completa  ,17 de dezembro de 2017,Com a classificação 5 de cinco estrelas
21, Guilherme da Mota Filho ,  Parabéns Supers Cell melhor jogo que eu já vi e muitas pessoas já viram por favor não mi banem por favor meu nome é supecell eu n sábia que é proibido usa esse nome mas o jogo é ótimo da raiva  as fezes mas depois passa parabéns eu amei esse jogo é meu passa tempo preferido  Resenha completa  ,11 de janeiro de 2018,Com a classificação 5 de cinco estrelas
22, Felipe Lets Play ,  O jogo e ótimo excelente o único problema e o preço dos baús e das gemas eu acho tudo muito caro e vcs poderia faze mais 3 Arenas e 12 cartas novas da próxima atualização eu acho que seria bem melho eu sei que não é fácil mais tenta  Resenha completa  ,4 de janeiro de 2018,Com a classificação 5 de cinco estrelas
23, Nata Missael ,  Supercell pfv arrume isso meu clash Royale não quer passa 50 é a 3 vez q isso acontece é não é a internet pq meu YouTube tá pegando normal espero q arrume dei 5 estrelas pq realmente gosto muito do jogo  Resenha completa  ,25 de janeiro de 2018,Com a classificação 5 de cinco estrelas
24, Tauros Play ,"  Supercell minha conta foi hackeada e gastaram meus 90.000 de moedas minhas 100 gemas e trocaram meu nome meu nome era Tauros e colocaram Tauros nob, eu queria saber se dava pra eu concertar e ganhar pelo menos meu dinheiro pq é difícil a pessoa ganhar esse dinheiro sem gemar como eu faço obg leiam por favor  Resenha completa  ",9 de janeiro de 2018,Com a classificação 5 de cinco estrelas
25, Marlon Bassegio ,  despois desse ultima atualizaçao obrigatorio o jogo atrasou muito to jo desafio do elexir triplo ja perdi 2 vezes pq entra atrasado e antes de atualizar n dava essa coisa pf arrumem isso  Resenha completa  ,19 de dezembro de 2017,Com a classificação 4 de cinco estrelas
26, Rafael Moreira ,  O clash royale é muito legal eu tenho só 4 lendarias duas cartas lendarias foi no baú super mágico e outro dois foi no baú lendário eu consegui minha primeira carta lendaria foi o cemitério e minha segundo carta lendaria foi a sparky e a minha terceiro carta lendaria foi o tronco e minha quarta carta lendaria foi o mineiro. supercell bota de volta o desafio da estrategia.  Resenha completa  ,22 de dezembro de 2017,Com a classificação 5 de cinco estrelas
27, Samuca herocraft ,  Vcs podiam botar canhão de cano duplo cabana de bárbaros de elite mega cavaleiro com duas mini esparcks nas mãos e torre infernal que atira 4 lasers de lava de uma vez mas o jogo é ótimo gostei muito  Resenha completa  ,24 de dezembro de 2017,Com a classificação 5 de cinco estrelas
28, SANDRO GPLAYS ,  SUPERCEL RESOLVAM ISSO TO COM O BAU DO REI LENDARIO BUGADO  COMPLETEI A MISSÃO  E QUANDO EU TENTO ABRIR O BAÚ DIZ Q EU TO COM ERRO 104 E ME MANDA PRO SITE NO GOGLE DE AJUDA  Resenha completa  ,14 de janeiro de 2018,Com a classificação 5 de cinco estrelas
29, raphael alves ,  As notificações estão bugadas coloquei para  abri um baú gigante era 9 horas da noite as 9 da manhã eu abri ele  14 horas veio a notificação falando que ele estava aberto tirando isso o melhor jogo que eu já joguei de longe  Resenha completa  ,27 de dezembro de 2017,Com a classificação 5 de cinco estrelas
30, geme plays ,  O jogo é muito bom recomendo mais um problema da supercell é uns bug tem vários bugs la na minha conta eu tô na arena 1 mas o meu troféu já era para mim subir para arena 3 e a supercell não resolveu  Resenha completa  ,21 de dezembro de 2017,Com a classificação 4 de cinco estrelas
31, ONEFORALL ,  Poxa supercell vcs deviam botar um baú grátis que viesse pelo menos uma lendária pq eu jogo a muito tempo vai completar  um ano e pelo que parece eu vou ter que gemar pra conseguir  uma lendária pq tá difícil mais fora isso o jogo tá chavoso  Resenha completa  ,25 de dezembro de 2017,Com a classificação 5 de cinco estrelas
32, ,  Mas é muito difícil pra conseguir cartas lendárias porque eu queria que tivese um jeito mais fácil de conseguir cartas lendárias eu queria ter pelomenos alguma carta lendária puriso não gostei muito mas se vocês conseguise mudar isso por favor  Resenha completa  ,29 de dezembro de 2017,Com a classificação 5 de cinco estrelas
33, Lucas Gabriel Sampaio ,  Supercell o seu jogo é muuuuuuito lugal mesmo mas eu fui jogar outro dia e eu tava na arena 6 e antes eu estava na 11 ah e o meu jogo bugou ontem que eu perdi as minhas gemas eu estava econo mizando mas perdi todas supercell porfavor conserte isso  Resenha completa  ,2 de janeiro de 2018,Com a classificação 5 de cinco estrelas
34, Killer. Br ,  Supercell o jogo e top d+ parabéns a única coisa q me deixa irritado eo sistema de batalha as vezes pego jogadores nivel 12 com cartas maximizadas e isso e muito injusto. Mas fora isso o jogo e top.  Resenha completa  ,23 de dezembro de 2017,Com a classificação 5 de cinco estrelas
35, Junior Play Gamer ,  Essa supercell falo que ia dar nos baús cara q agente tem poucas só que as que agente precisa ela deixa agente q se vire pedindo no clan e também a supercell deveria colocar nas batalhas brasileiro vc brasileiro e inglês vc inglês e assim q vai ai a conexão ia ser bem melhor  Resenha completa  ,31 de dezembro de 2017,Com a classificação 3 de cinco estrelas
36, ,  O jogo é legal mas o bug do baú do relâmpago nas missão ele tá fazendo muitos jogadores de clash royale parar de jogar eu to tentando recuperar minha conta mas não dá eu gastei muito nesse jogo para perde a conta pq arrumem isso esse bug do baú do relâmpago das missão  Resenha completa  ,1 de janeiro de 2018,Com a classificação 5 de cinco estrelas
37, Victor Belo ,  O jogo e muito muito muito bom mesmo mais uma coisa q sempro falo e q eu to na arena 8 quase indo pra nove e não tenho nenhuma lendaria ta muito difícil conseguir uma so se quer lendaria e tambem deveria dar uns brinde tipo 1900 gemas etc  Resenha completa  ,30 de dezembro de 2017,Com a classificação 4 de cinco estrelas
38, ,  O jogo e muito bom so que quando alguem joga o adiversario e muito mais forte nao tem graça de jogar e ele sempre tem uma carta melhor e nao tem como ganhar eu acho que deveria ser igual tipo as mesma carta para quem esta batalhando dai todos tem chance de ganhar a batalha  Resenha completa  ,5 de janeiro de 2018,Com a classificação 5 de cinco estrelas
39, Patricia Pereira ,  Supercell me de uma lendaria tipo mega cavaleiro ou mago eletrico por que isso já tá chato eu tô na arena 9 e só tem cara gemado com nível de XP 9  e  11 e isso tá chato mas tirando isso o jogo é ais que esse lente é ótimo  Resenha completa  ,19 de dezembro de 2017,Com a classificação 5 de cinco estrelas
